location,id,title,expires,branch,tenure,agcy_name,org_name,pborg_seq,pborg_managed_by,org_order,name_of_incumbent,type_of_appt,pay_plan,pay,pb_order
"Washington, DC",1,Secretary,,Executive,,Department of Agriculture,Office of The Secretary,6752,6751,10,Thomas James Vilsack,Presidential Appointment with Senate Confirmation(PAS),Executive Schedule(EX),I,5
"Washington, DC",10,Senior Advisor to the Secretary,,Executive,,Department of Agriculture,Office of The Secretary,6752,6751,10,Brandon Clark Willis,Noncareer Appointment(NA),Senior Executive Service(ES),,50
"Washington, DC",100,"Director, Legislative and Public Affairs Staff",,Executive,,Department of Agriculture,Office of the Under Secretary for Rural Development,6758,6752,180,David Sandretti,Schedule C Excepted Appointment(SC),General Schedule(GS),15,165
"Arlington, VA",1000,"Director, Test Resources",,Executive,,Department of Defense - Office of the Secretary of Defense,"Office of the Under Secretary of Defense (Acquisition, Technology, and Logistics)",5010,5022,170,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,225
"Alexandria, VA",1001,"Administrator, Defense Technical Information Center",,Executive,,Department of Defense - Office of the Secretary of Defense,"Office of the Under Secretary of Defense (Acquisition, Technology, and Logistics)",5010,5022,170,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,230
"Arlington, VA",1002,Director for Basic Research,,Executive,,Department of Defense - Office of the Secretary of Defense,"Office of the Under Secretary of Defense (Acquisition, Technology, and Logistics)",5010,5022,170,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,235
"Arlington, VA",1003,"Deputy Director, Small and Disadvantaged Business Utilization Policy",,Executive,,Department of Defense - Office of the Secretary of Defense,"Office of the Under Secretary of Defense (Acquisition, Technology, and Logistics)",5010,5022,170,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,240
"Arlington, VA",1004,"Director, Command and Control (C2) Programs",,Executive,,Department of Defense - Office of the Secretary of Defense,"Office of the Under Secretary of Defense (Acquisition, Technology, and Logistics)",5010,5022,170,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,245
"Arlington, VA",1005,"Deputy Director, Joint Force Integration",,Executive,,Department of Defense - Office of the Secretary of Defense,"Office of the Under Secretary of Defense (Acquisition, Technology, and Logistics)",5010,5022,170,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,250
"Arlington, VA",1006,"Deputy Director, Systems and Software Engineering (Enterprise Development)",,Executive,,Department of Defense - Office of the Secretary of Defense,"Office of the Under Secretary of Defense (Acquisition, Technology, and Logistics)",5010,5022,170,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,255
"Arlington, VA",1007,"Director, Defense Laboratory Programs",,Executive,,Department of Defense - Office of the Secretary of Defense,"Office of the Under Secretary of Defense (Acquisition, Technology, and Logistics)",5010,5022,170,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,260
"Arlington, VA",1008,"Director, Satellite Operations",,Executive,,Department of Defense - Office of the Secretary of Defense,"Office of the Under Secretary of Defense (Acquisition, Technology, and Logistics)",5010,5022,170,Vacant,,Senior Executive Service(ES),,265
"Arlington, VA",1009,"Director, Joint Operations Support",,Executive,,Department of Defense - Office of the Secretary of Defense,"Office of the Under Secretary of Defense (Acquisition, Technology, and Logistics)",5010,5022,170,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,270
"Washington, DC",101,Special Assistant,,Executive,,Department of Agriculture,Office of the Under Secretary for Rural Development,6758,6752,180,Katherine Elizabeth Yocum,Schedule C Excepted Appointment(SC),General Schedule(GS),14,170
"Arlington, VA",1010,Director of Strategy and Operations Integration,,Executive,,Department of Defense - Office of the Secretary of Defense,"Office of the Under Secretary of Defense (Acquisition, Technology, and Logistics)",5010,5022,170,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,275
"Arlington, VA",1011,"Deputy Director, Systems Engineering (Developmental Test and Evaluation)",,Executive,,Department of Defense - Office of the Secretary of Defense,"Office of the Under Secretary of Defense (Acquisition, Technology, and Logistics)",5010,5022,170,Vacant,,Senior Executive Service(ES),,280
"Arlington, VA",1012,"Deputy Director, International Negotiations",,Executive,,Department of Defense - Office of the Secretary of Defense,"Office of the Under Secretary of Defense (Acquisition, Technology, and Logistics)",5010,5022,170,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,285
"Arlington, VA",1013,"Deputy Director, Program Operations",,Executive,,Department of Defense - Office of the Secretary of Defense,"Office of the Under Secretary of Defense (Acquisition, Technology, and Logistics)",5010,5022,170,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,290
"Arlington, VA",1014,"Deputy Director, Unmanned Warfare",,Executive,,Department of Defense - Office of the Secretary of Defense,"Office of the Under Secretary of Defense (Acquisition, Technology, and Logistics)",5010,5022,170,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,295
"Arlington, VA",1015,Deputy Assistant Secretary of Defense (Chemical and Biological Defense),,Executive,,Department of Defense - Office of the Secretary of Defense,"Office of the Under Secretary of Defense (Acquisition, Technology, and Logistics)",5010,5022,170,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,300
"Arlington, VA",1016,"Deputy Director, Communications and Networks Programs and Policy",,Executive,,Department of Defense - Office of the Secretary of Defense,"Office of the Under Secretary of Defense (Acquisition, Technology, and Logistics)",5010,5022,170,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,305
"Arlington, VA",1017,"Principal Director, Space and Intelligence",,Executive,,Department of Defense - Office of the Secretary of Defense,"Office of the Under Secretary of Defense (Acquisition, Technology, and Logistics)",5010,5022,170,Vacant,,Senior Executive Service(ES),,310
"Arlington, VA",1018,"Deputy Director, Industrial Policy",,Executive,,Department of Defense - Office of the Secretary of Defense,"Office of the Under Secretary of Defense (Acquisition, Technology, and Logistics)",5010,5022,170,Vacant,,Senior Executive Service(ES),,315
"Arlington, VA",1019,Strategic Coordinator,,Executive,,Department of Defense - Office of the Secretary of Defense,"Office of the Under Secretary of Defense (Acquisition, Technology, and Logistics)",5010,5022,170,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,320
"Washington, DC",102,Special Assistant for Energy Programs,,Executive,,Department of Agriculture,Office of the Under Secretary for Rural Development,6758,6752,180,Todd E. Campbell,Schedule C Excepted Appointment(SC),General Schedule(GS),12,175
"Arlington, VA",1020,"Assistant Deputy Director, Ground Systems",,Executive,,Department of Defense - Office of the Secretary of Defense,"Office of the Under Secretary of Defense (Acquisition, Technology, and Logistics)",5010,5022,170,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,325
"Arlington, VA",1021,"Special Assistant to the Under Secretary of Defense (Acquisition, Technology and Logistics)",,Executive,,Department of Defense - Office of the Secretary of Defense,"Office of the Under Secretary of Defense (Acquisition, Technology, and Logistics)",5010,5022,170,Andrew P. Hunter,Noncareer Appointment(NA),Senior Executive Service(ES),,330
"Arlington, VA",1022,Special Assistant for Science and Technology Communities of Interest,,Executive,,Department of Defense - Office of the Secretary of Defense,"Office of the Under Secretary of Defense (Acquisition, Technology, and Logistics)",5010,5022,170,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,335
"Arlington, VA",1023,Deputy Assistant Secretary of Defense (Manufacturing and Industrial Base Policy),,Executive,,Department of Defense - Office of the Secretary of Defense,"Office of the Under Secretary of Defense (Acquisition, Technology, and Logistics)",5010,5022,170,Brett B. Lambert,Noncareer Appointment(NA),Senior Executive Service(ES),,340
"Boston, MA",1024,"Director, Defense Pricing",,Executive,,Department of Defense - Office of the Secretary of Defense,"Office of the Under Secretary of Defense (Acquisition, Technology, and Logistics)",5010,5022,170,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,345
"Arlington, VA",1025,"Deputy Director, Air Warfare",,Executive,,Department of Defense - Office of the Secretary of Defense,"Office of the Under Secretary of Defense (Acquisition, Technology, and Logistics)",5010,5022,170,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,350
