title,expires,branch,agcy_name,org_name,pborg_seq,pborg_managed_by,org_order,name_of_incumbent,tenure,type_of_appt,pay_plan,pay,pb_order,location,id
Chair,,Executive,ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,37827,-1,1,Vacant,5 Years,Presidential Appointment with Senate Confirmation(PAS),Executive Schedule(EX),,1,"Washington, DC",1
Council Member,,Executive,ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,37827,-1,1,Jane Sherburne,,Presidential Appointment (without Senate Confirmation)(PA),Without Compensation*(WC),,10,"Washington, DC",10
Associate Director for Language Programming,,Executive,BROADCASTING BOARD OF GOVERNORS,INTERNATIONAL BROADCASTING BUREAU,39403,39401,2,Vacant,,,Senior Executive Service(ES),,45,"Washington, DC",100
Commissioner,4/30/2018,Executive,MEDICAID AND CHIP PAYMENT AND ACCESS COMMISSION,MEDICAID AND CHIP PAYMENT AND ACCESS COMMISSION,40300,-1,10,Charles Milligan,3 Years,Appointment Excepted by Statute(XS),Daily Pay Rate* (per diem)(PD),,55,"Washington, DC",1000
Commissioner,4/30/2018,Executive,MEDICAID AND CHIP PAYMENT AND ACCESS COMMISSION,MEDICAID AND CHIP PAYMENT AND ACCESS COMMISSION,40300,-1,10,Sheldon Retchin,3 Years,Appointment Excepted by Statute(XS),Daily Pay Rate* (per diem)(PD),,60,"Washington, DC",1001
Commissioner,4/30/2017,Executive,MEDICAID AND CHIP PAYMENT AND ACCESS COMMISSION,MEDICAID AND CHIP PAYMENT AND ACCESS COMMISSION,40300,-1,10,Norma Rogers,3 Years,Appointment Excepted by Statute(XS),Daily Pay Rate* (per diem)(PD),,65,"Washington, DC",1002
Commissioner,4/30/2017,Executive,MEDICAID AND CHIP PAYMENT AND ACCESS COMMISSION,MEDICAID AND CHIP PAYMENT AND ACCESS COMMISSION,40300,-1,10,Sara Rosenbaum,3 Years,Appointment Excepted by Statute(XS),Daily Pay Rate* (per diem)(PD),,70,"Washington, DC",1003
Commissioner,4/30/2018,Executive,MEDICAID AND CHIP PAYMENT AND ACCESS COMMISSION,MEDICAID AND CHIP PAYMENT AND ACCESS COMMISSION,40300,-1,10,Peter Szilagyi,3 Years,Appointment Excepted by Statute(XS),Daily Pay Rate* (per diem)(PD),,75,"Washington, DC",1004
Commissioner,4/30/2019,Executive,MEDICAID AND CHIP PAYMENT AND ACCESS COMMISSION,MEDICAID AND CHIP PAYMENT AND ACCESS COMMISSION,40300,-1,10,Penny Thompson,3 Years,Appointment Excepted by Statute(XS),Daily Pay Rate* (per diem)(PD),,80,"Washington, DC",1005
Commissioner,4/30/2019,Executive,MEDICAID AND CHIP PAYMENT AND ACCESS COMMISSION,MEDICAID AND CHIP PAYMENT AND ACCESS COMMISSION,40300,-1,10,Alan Weil,3 Years,Appointment Excepted by Statute(XS),Daily Pay Rate* (per diem)(PD),,85,"Washington, DC",1006
Executive Director,,Executive,MEDICAID AND CHIP PAYMENT AND ACCESS COMMISSION,MEDICAID AND CHIP PAYMENT AND ACCESS COMMISSION,40300,-1,10,Anne Schwartz,,Appointment Excepted by Statute(XS),Administratively Determined Rates(AD),"$171,315 ",90,"Washington, DC",1007
Communications Director,,Executive,MEDICAID AND CHIP PAYMENT AND ACCESS COMMISSION,MEDICAID AND CHIP PAYMENT AND ACCESS COMMISSION,40300,-1,10,Kathryn Ceja,,Appointment Excepted by Statute(XS),Administratively Determined Rates(AD),"$156,953 ",95,"Washington, DC",1008
